participant_id,timestamp,age,semester,semester_raw,department_raw,department,gender,caregiver_raw,caregiver,family_moves,friends_have,friends_want,friend_gap,attachment_style,vignette_secure,vignette_preoccupied,vignette_dismissing,vignette_fearful,anxiety_1,anxiety_2,anxiety_3,anxiety_4,anxiety,avoidance_1,avoidance_2,avoidance_3,avoidance_4,avoidance,scenario_anx_1,scenario_anx_2,scenario_anx_3,scenario_anx_4,scenario_anx_5,scenario_anx_6,scenario_anx,scenario_expect_1,scenario_expect_2,scenario_expect_3,scenario_expect_4,scenario_expect_5,scenario_expect_6,scenario_expect,fne_1,fne_2,fne_3,fne_4,fne_5,fne_6,fne,loneliness_1,loneliness_2,loneliness_3,loneliness,convo_started,approach_inhibition,avoid_rank_1,avoid_sel_1,avoid_rank_2,avoid_sel_2,avoid_rank_3,avoid_sel_3,avoid_rank_4,avoid_sel_4,avoid_rank_5,avoid_sel_5,avoid_rank_6,avoid_sel_6,n_situations_avoided,willing_followup,longstring,item_sd,straightlining_flag,nonsense_row_flag,undergraduate_flag,graduated_flag,analytic_sample
P057,2026-08-17 17:09:47,23.0,6.0,6th,CSE,CSE,Man,Both parents,Both parents,2,5.0,2.0,-3.0,Fearful,3,5,7,7,1,1,1,1,1.0,2,1,4,3,2.5,4,5,5,2,4,4,4.0,3,3,3,3,3,3,3.0,4,4,4,4,4,2,3.6666666666666665,4,3,3,3.3333333333333335,1,1,,0,,0,,0,,0,,0,,0,0,"No, thank you",6,1.2095677687472162,0,0,1,0,1
P058,2026-08-17 18:52:38,22.0,5.0,5th,CSE ,CSE,Man,Both parents,Both parents,0,,,,Secure,7,7,7,4,4,4,4,4,4.0,4,4,4,7,4.75,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,2,1,1.3333333333333333,0,0,1.0,1,2.0,1,,0,3.0,1,,0,,0,3,"No, thank you",19,1.6142835345902709,1,0,1,0,1
P059,2026-08-17 19:14:41,22.0,9.0,9th,CSE,CSE,Man,Both parents,Both parents,3,3.0,7.0,4.0,Secure,1,1,1,1,1,1,1,1,1.0,3,3,2,3,2.75,1,1,3,1,1,1,1.3333333333333333,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1.0,0,0,1.0,1,3.0,1,,0,2.0,1,,0,,0,3,Yes — an interview,18,0.712312545559585,1,0,1,0,1
P060,2026-08-17 19:52:40,22.0,3.0,3rd,EEE,EEE,Woman,Both parents,Both parents,1,3.0,5.0,2.0,Dismissing,3,3,6,5,1,4,4,4,3.25,6,7,5,7,6.25,6,1,4,4,6,2,3.8333333333333335,3,3,3,6,6,6,4.5,3,4,4,3,4,2,3.3333333333333335,3,3,2,2.6666666666666665,2,2,,0,,0,,0,,0,,0,,0,0,"No, thank you",3,1.6903085094570331,0,0,1,0,1
P061,2026-08-17 20:14:37,20.0,4.0,4th,CSE,CSE,Woman,Both parents,Both parents,1,3.0,4.0,1.0,Dismissing,5,4,6,2,5,4,3,6,4.5,2,6,3,6,4.25,4,3,3,5,6,6,4.5,5,4,5,5,3,3,4.166666666666667,4,3,4,3,5,4,3.8333333333333335,2,3,1,2.0,3,2,,0,1.0,1,3.0,1,,0,,0,2.0,1,3,"No, thank you",2,1.3627702877384937,0,0,1,0,1
P062,2026-08-17 22:09:59,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,1,5.0,5.0,0.0,Secure,5,4,2,3,1,1,6,4,3.0,4,4,3,7,4.5,3,4,4,1,1,1,2.3333333333333335,6,6,6,6,6,6,6.0,1,1,1,1,1,1,1.0,1,1,2,1.3333333333333333,2,2,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,"No, thank you",8,2.2094735569847357,0,0,1,0,1
P063,2026-08-17 22:14:47,21.0,5.0,5th,CSE,CSE,Woman,Sisters ,Other,0,2.0,3.0,1.0,Dismissing,1,1,4,4,1,4,1,1,1.75,5,5,7,2,4.75,1,5,6,1,1,2,2.6666666666666665,2,6,4,1,1,1,2.5,1,1,1,1,5,1,1.6666666666666667,3,2,2,2.3333333333333335,2,3,,0,2.0,1,3.0,1,,0,1.0,1,,0,3,"No, thank you",7,1.9564217865523152,0,0,1,0,1
P064,2026-08-17 22:16:11,23.0,7.0,7th,Bio,MNS,Woman,Both parents,Both parents,0,2.0,1.0,-1.0,Secure,7,7,7,7,4,4,1,2,2.75,4,4,1,4,3.25,1,4,1,4,4,4,3.0,1,4,1,4,4,4,3.0,4,1,4,4,4,4,3.5,1,1,1,1.0,4,3,3.0,1,,0,,0,,0,,0,,0,1,Yes — either is fine,4,1.4477773010033317,0,0,1,0,1
P065,2026-08-17 22:26:17,24.0,8.0,8th,CSE,CSE,Man,Both parents,Both parents,3,3.0,3.0,0.0,Dismissing,5,3,7,1,1,1,1,1,1.0,1,1,1,1,1.0,1,3,4,4,1,3,2.6666666666666665,1,1,4,4,1,3,2.3333333333333335,1,1,1,3,3,3,2.0,3,1,2,2.0,0,0,2.0,1,1.0,1,,0,3.0,1,,0,,0,3,Yes — either is fine,9,1.193166090784114,0,0,1,0,1
P066,2026-08-17 22:28:20,22.0,6.0,6th,BBA,BBA,Woman,Both parents,Both parents,0,3.0,6.0,3.0,Fearful,7,6,3,7,6,7,7,7,6.75,7,7,7,5,6.5,6,6,6,1,6,1,4.333333333333333,1,1,1,6,3,6,3.0,5,4,5,5,5,4,4.666666666666667,3,3,3,3.0,1,0,,0,,0,,0,,0,,0,,0,0,Yes — an interview,6,2.1114279714964788,0,0,1,0,1
P067,2026-08-17 22:29:43,22.0,6.0,6th,Biotech,MNS,Woman,Both parents,Both parents,1,3.0,3.0,0.0,Fearful,1,3,5,6,4,4,5,4,4.25,6,4,4,7,5.25,4,5,6,4,6,3,4.666666666666667,4,3,1,5,1,4,3.0,2,3,2,4,4,2,2.8333333333333335,3,3,3,3.0,1,2,2.0,1,1.0,1,3.0,1,,0,,0,,0,3,Yes — either is fine,3,1.4486276842196841,0,0,1,0,1
P068,2026-08-17 22:36:50,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,1,2.0,5.0,3.0,Preoccupied,5,3,4,5,3,3,6,6,4.5,2,4,4,4,3.5,4,4,4,5,5,5,4.5,5,5,2,2,2,2,3.0,3,3,1,1,1,3,2.0,3,3,3,3.0,0,1,,0,,0,,0,2.0,1,1.0,1,,0,2,"No, thank you",6,1.4246250911191707,0,0,1,0,1
P069,2026-08-17 22:53:25,23.0,6.0,6th,MNS,MNS,Woman,Both parents,Both parents,1,1.0,1.0,0.0,Secure,6,4,5,3,2,2,2,2,2.0,2,2,2,2,2.0,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2.0,2,2,2,2.0,2,2,,0,2.0,1,,0,,0,,0,,0,1,Yes — an interview,29,0.0,1,0,1,0,1
P070,2026-08-17 23:05:59,21.0,2.0,2nd,Bba,BBA,Man,Hostel or boarding,Other,0,0.0,0.0,0.0,Preoccupied,7,3,3,3,3,1,4,3,2.75,2,3,2,2,2.25,4,2,2,3,1,4,2.6666666666666665,1,4,1,3,2,2,2.1666666666666665,4,4,4,4,1,3,3.3333333333333335,2,3,3,2.6666666666666665,1,3,2.0,1,,0,,0,,0,,0,,0,1,Yes — an interview,4,1.078221487614989,0,0,1,0,1
P071,2026-08-17 23:09:19,22.0,5.0,5th,ENH,ENH,Woman,Both parents,Both parents,1,5.0,10.0,5.0,Secure,7,1,7,1,1,2,2,1,1.5,7,4,1,1,3.25,1,1,1,1,6,1,1.8333333333333333,1,1,1,1,6,1,1.8333333333333333,1,1,1,1,1,1,1.0,1,1,1,1.0,0,1,,0,,0,,0,,0,,0,1.0,1,1,Yes — a group discussion,10,1.7091466484798352,0,0,1,0,1
P072,2026-08-17 23:09:54,24.0,11.0,11th,MNS,MNS,Woman,Both parents,Both parents,1,3.0,3.0,0.0,Secure,4,1,5,3,7,4,1,1,3.25,4,7,4,7,5.5,1,4,6,1,1,1,2.3333333333333335,3,1,6,1,3,3,2.8333333333333335,2,2,2,4,4,5,3.1666666666666665,3,1,1,1.6666666666666667,2,1,1.0,1,,0,,0,2.0,1,3.0,1,,0,3,"No, thank you",3,2.058862855111441,0,0,1,0,1
P073,2026-08-17 23:11:29,22.0,5.0,5th,EEE,EEE,Man,Parents and grandparents,Both parents,3,0.0,5.0,5.0,Dismissing,7,1,6,5,2,4,1,1,2.0,7,7,5,7,6.5,1,2,5,1,5,1,2.5,2,3,5,1,2,2,2.5,4,1,1,1,1,1,1.5,2,1,1,1.3333333333333333,2,0,3.0,1,1.0,1,,0,,0,,0,2.0,1,3,Yes — either is fine,5,2.0749502931906147,0,0,1,0,1
P074,2026-08-17 23:22:33,23.0,5.0,5th,MIC,MNS,Woman,Both parents,Both parents,0,0.0,0.0,0.0,Fearful,4,1,7,7,7,7,7,3,6.0,7,7,7,7,7.0,6,6,6,5,6,6,5.833333333333333,4,4,4,4,4,4,4.0,5,5,5,5,5,5,5.0,4,3,4,3.6666666666666665,0,2,3.0,1,2.0,1,1.0,1,,0,,0,,0,3,Yes — either is fine,6,1.2998673672393632,0,0,1,0,1
P075,2026-08-17 23:26:54,25.0,11.0,11th,MIC,MNS,Woman,Both parents,Both parents,1,3.0,4.0,1.0,Secure,6,6,1,1,6,6,7,4,5.75,2,3,1,1,1.75,2,2,4,1,2,2,2.1666666666666665,5,5,5,6,6,6,5.5,5,4,4,5,5,5,4.666666666666667,3,3,1,2.3333333333333335,1,1,2.0,1,1.0,1,3.0,1,,0,,0,,0,3,"No, thank you",3,1.8335945477441955,0,0,1,0,1
P076,2026-08-17 23:36:47,22.0,7.0,7th,Biotechnology ,MNS,Woman,Both parents,Both parents,2,2.0,5.0,3.0,Preoccupied,4,4,2,3,1,1,2,2,1.5,2,2,1,2,1.75,2,2,3,1,1,2,1.8333333333333333,2,2,2,2,2,2,2.0,1,1,1,1,1,2,1.1666666666666667,2,1,1,1.3333333333333333,1,2,3.0,1,1.0,1,2.0,1,,0,,0,,0,3,"No, thank you",7,0.5614899250748772,0,0,1,0,1
P077,2026-08-17 23:52:49,20.0,1.0,1st,ENH,ENH,Woman,Both parents,Both parents,2,2.0,2.0,0.0,Fearful,1,1,1,1,2,2,1,3,2.0,3,1,2,3,2.25,2,2,1,2,3,2,2.0,2,1,3,3,3,3,2.5,2,5,4,2,2,3,3.0,2,1,3,2.0,2,2,2.0,1,,0,,0,,0,,0,,0,1,Yes — either is fine,4,0.9364012444675595,0,0,1,0,1
P078,2026-08-18 00:03:04,23.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,4.0,4.0,0.0,Secure,6,2,4,2,3,3,3,2,2.75,4,5,3,7,4.75,1,5,4,1,4,3,3.0,5,2,4,6,6,6,4.833333333333333,3,3,5,5,5,4,4.166666666666667,2,2,3,2.3333333333333335,2,2,,0,1.0,1,2.0,1,,0,,0,3.0,1,3,"No, thank you",3,1.5504647324913612,0,0,1,0,1
P079,2026-08-18 00:03:36,23.0,11.0,11th,MNS,MNS,Woman,Both parents,Both parents,0,7.0,3.0,-4.0,Fearful,3,4,4,6,5,7,6,5,5.75,5,5,5,5,5.0,6,6,6,5,6,5,5.666666666666667,3,2,3,4,3,5,3.3333333333333335,5,4,4,4,5,5,4.5,3,3,3,3.0,0,3,1.0,1,,0,,0,,0,3.0,1,2.0,1,3,"No, thank you",5,1.2105854952787556,0,0,1,0,1
P080,2026-08-18 02:08:07,21.0,5.0,5th,enh,ENH,Prefer not to say,Both parents,Both parents,1,2.0,4.0,2.0,Fearful,3,1,2,6,5,5,6,6,5.5,2,2,5,1,2.5,2,2,5,1,6,2,3.0,6,4,2,6,4,6,4.666666666666667,2,2,2,2,4,1,2.1666666666666665,3,2,2,2.3333333333333335,1,2,3.0,1,2.0,1,1.0,1,,0,,0,,0,3,"No, thank you",4,1.8207885478441999,0,0,1,0,1
P081,2026-08-18 09:30:02,21.0,6.0,6th,MNS,MNS,Woman,One parent,One parent,3,0.0,0.0,0.0,Secure,3,7,2,6,7,5,1,7,5.0,3,3,3,3,3.0,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3.0,3,3,3,3.0,4,1,,0,,0,,0,,0,,0,,0,0,"No, thank you",25,1.1617890060511344,1,0,1,0,1
P082,2026-08-18 09:32:07,21.0,6.0,6th,MIC,MNS,Woman,Both parents,Both parents,1,2.0,2.0,0.0,Preoccupied,3,7,4,3,4,5,6,6,5.25,5,6,6,4,5.25,4,1,4,1,1,1,2.0,3,1,3,1,1,1,1.6666666666666667,3,4,4,2,2,4,3.1666666666666665,3,3,3,3.0,2,0,,0,1.0,1,,0,,0,,0,,0,1,"No, thank you",3,1.733472269283355,0,0,1,0,1
P083,2026-08-18 09:52:29,21.0,6.0,6th,MIC,MNS,Woman,Both parents,Both parents,2,2.0,2.0,0.0,Dismissing,1,5,7,7,7,2,7,5,5.25,7,4,4,7,5.5,4,5,4,3,3,4,3.8333333333333335,4,4,5,5,6,5,4.833333333333333,5,2,5,4,2,3,3.5,4,4,4,4.0,4,2,2.0,1,,0,,0,,0,,0,,0,1,Yes — either is fine,3,1.4272161058535886,0,0,1,0,1
P084,2026-08-18 11:37:28,21.0,6.0,6th,MIC,MNS,Woman,Both parents,Both parents,1,2.0,3.0,1.0,Fearful,2,5,7,7,6,6,4,7,5.75,7,7,4,7,6.25,3,5,5,1,1,1,2.6666666666666665,3,3,3,3,3,3,3.0,5,5,5,5,5,5,5.0,3,4,3,3.3333333333333335,1,3,,0,,0,,0,,0,,0,,0,0,"No, thank you",6,1.7602619599047422,0,0,1,0,1
P085,2026-08-18 11:54:53,22.0,7.0,7th,EEE,EEE,Woman,Grandparents or other relatives,Grandparents / other relatives,1,1.0,4.0,3.0,Dismissing,3,7,7,3,4,2,2,4,3.0,4,2,4,2,3.0,1,2,3,2,1,3,2.0,2,3,2,2,1,1,1.8333333333333333,1,1,2,3,3,2,2.0,2,3,4,3.0,2,0,,0,,0,1.0,1,,0,,0,,0,1,Yes — a group discussion,4,1.0098041560112223,0,0,1,0,1
P086,2026-08-18 11:56:54,23.0,2.0,2nd,MIC,MNS,Woman,Grandparents or other relatives,Grandparents / other relatives,1,2.0,2.0,0.0,Preoccupied,7,7,1,1,7,7,1,1,4.0,7,7,1,7,5.5,1,1,1,6,1,6,2.6666666666666665,1,1,1,6,1,6,2.6666666666666665,1,1,1,1,1,1,1.0,3,3,3,3.0,2,3,,0,1.0,1,,0,,0,,0,,0,1,Yes — a group discussion,6,2.5625187732100976,0,0,1,0,1
P087,2026-08-18 11:58:57,22.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,1,1.0,3.0,2.0,Fearful,3,4,6,6,1,3,2,4,2.5,6,7,5,7,6.25,6,6,6,5,4,6,5.5,4,4,4,5,4,4,4.166666666666667,5,5,5,5,5,4,4.833333333333333,3,3,2,2.6666666666666665,1,2,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,"No, thank you",5,1.4545664463330745,0,0,1,0,1
P088,2026-08-18 12:27:49,22.0,5.0,5th,eee,EEE,Woman,Both parents,Both parents,2,0.0,3.0,3.0,Fearful,3,4,2,5,3,4,4,2,3.25,3,2,6,5,4.0,5,2,4,3,5,4,3.8333333333333335,3,5,3,3,5,3,3.6666666666666665,3,4,3,4,4,3,3.5,3,2,3,2.6666666666666665,0,0,,0,,0,,0,1.0,1,,0,,0,1,Yes — a group discussion,2,1.0551305571401284,0,0,1,0,1
P089,2026-08-18 12:38:42,23.0,6.0,6th,CSE,CSE,Man,Both parents,Both parents,1,5.0,3.0,-2.0,Dismissing,5,6,7,2,1,1,1,1,1.0,7,7,1,4,4.75,1,1,1,6,1,6,2.6666666666666665,6,6,6,6,1,6,5.166666666666667,5,1,4,5,4,5,4.0,3,2,3,2.6666666666666665,0,3,2.0,1,3.0,1,,0,,0,,0,1.0,1,3,"No, thank you",5,2.2931682645752733,0,0,1,0,1
P090,2026-08-18 12:42:44,22.0,6.0,6th,MIC,MNS,Woman,Grandparents or other relatives,Grandparents / other relatives,1,3.0,2.0,-1.0,Dismissing,4,1,7,6,4,6,6,6,5.5,7,4,5,7,5.75,6,6,6,2,6,4,5.0,4,4,4,4,4,4,4.0,3,3,4,4,4,4,3.6666666666666665,3,3,3,3.0,1,3,1.0,1,,0,,0,,0,,0,,0,1,"No, thank you",7,1.3261299671054765,0,0,1,0,1
P091,2026-08-18 12:50:20,21.0,5.0,5th,ARC,ARC,Man,Both parents,Both parents,0,0.0,3.0,3.0,Dismissing,3,2,5,4,2,6,4,1,3.25,3,5,4,4,4.0,1,3,4,1,2,5,2.6666666666666665,4,4,2,4,4,2,3.3333333333333335,4,3,3,4,4,3,3.5,3,2,2,2.3333333333333335,0,1,,0,2.0,1,1.0,1,,0,,0,3.0,1,3,"No, thank you",2,1.2643267645224017,0,0,1,0,1
P092,2026-08-18 13:02:21,23.0,6.0,6th,MNS,MNS,Woman,Both parents,Both parents,0,0.0,3.0,3.0,Dismissing,6,1,3,3,3,3,2,2,2.5,2,3,3,3,2.75,3,3,1,3,3,2,2.5,3,3,3,3,2,3,2.8333333333333335,3,3,3,2,3,3,2.8333333333333335,2,2,2,2.0,2,2,1.0,1,,0,,0,,0,,0,,0,1,"No, thank you",5,0.5614899250748772,0,0,1,0,1
P093,2026-08-18 13:51:55,22.0,6.0,6th,MNS,MNS,Woman,Both parents,Both parents,0,3.0,3.0,0.0,Secure,6,2,4,5,3,2,3,1,2.25,7,4,3,6,5.0,1,1,1,4,1,4,2.0,1,1,1,4,6,5,3.0,1,1,1,1,1,1,1.0,1,1,1,1.0,1,0,,0,1.0,1,,0,,0,2.0,1,3.0,1,3,Yes — an interview,9,1.8760875335382239,0,0,1,0,1
P094,2026-08-18 14:04:43,22.0,7.0,7th,Bio,MNS,Woman,Grandparents or other relatives,Grandparents / other relatives,1,3.0,10.0,7.0,Dismissing,7,7,7,7,1,1,7,1,2.5,7,1,1,1,2.5,1,6,1,6,1,6,3.5,1,5,5,5,3,3,3.6666666666666665,1,1,1,1,1,1,1.0,4,4,4,4.0,1,3,2.0,1,1.0,1,3.0,1,,0,,0,,0,3,Yes — a group discussion,6,2.210030871549529,0,0,1,0,1
P095,2026-08-18 15:20:15,22.0,5.0,5th,Cse,CSE,Man,Both parents and grandparent,Both parents,0,1.0,4.0,3.0,Fearful,6,3,5,5,4,5,2,7,4.5,2,4,1,1,2.0,1,5,5,1,6,6,4.0,5,5,5,6,1,4,4.333333333333333,4,3,1,1,5,5,3.1666666666666665,3,3,3,3.0,1,2,1.0,1,,0,2.0,1,,0,3.0,1,,0,3,Yes — a group discussion,3,1.8806769559942724,0,0,1,0,1
P096,2026-08-18 17:41:16,22.0,6.0,6th,MIC,MNS,Woman,Both parents,Both parents,1,4.0,4.0,0.0,Dismissing,6,6,7,6,4,4,1,4,3.25,1,1,4,1,1.75,1,3,1,5,1,6,2.8333333333333335,1,1,1,6,1,1,1.8333333333333333,1,1,1,1,1,1,1.0,3,3,3,3.0,4,2,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,"No, thank you",8,1.6705209948063113,0,0,1,0,1
P097,2026-08-18 19:01:13,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,1,5.0,5.0,0.0,Secure,5,5,5,6,3,3,4,5,3.75,5,7,7,7,6.5,4,5,4,5,5,4,4.5,3,5,3,4,5,6,4.333333333333333,4,4,2,4,3,4,3.5,3,3,3,3.0,2,2,2.0,1,,0,,0,,0,,0,,0,1,"No, thank you",3,1.3064825110670784,0,0,1,0,1
P098,2026-08-18 21:15:11,22.0,8.0,8th,CSE,CSE,Man,Both parents,Both parents,2,6.0,,,Secure,7,1,4,1,1,1,1,1,1.0,7,4,2,4,4.25,1,6,6,1,1,1,2.6666666666666665,3,3,3,6,6,6,4.5,1,1,5,4,5,2,3.0,3,1,1,1.6666666666666667,2,1,1.0,1,,0,,0,2.0,1,3.0,1,,0,3,"No, thank you",4,2.0873770280289223,0,0,1,0,1
P099,2026-08-18 22:14:50,21.0,6.0,6th,CSE,CSE,Man,One parent,One parent,2,4.0,7.0,3.0,Secure,7,2,7,2,4,4,3,5,4.0,3,6,4,5,4.5,4,5,4,2,6,2,3.8333333333333335,2,2,3,4,1,4,2.6666666666666665,3,4,4,4,2,4,3.5,2,2,2,2.0,1,1,,0,2.0,1,,0,,0,1.0,1,,0,2,"No, thank you",3,1.2979711337465905,0,0,1,0,1
P100,2026-08-18 22:58:21,20.0,5.0,5th,CSE,CSE,Woman,Both parents,Both parents,1,4.0,6.0,2.0,Secure,6,5,5,5,4,3,4,2,3.25,4,6,4,5,4.75,2,3,3,1,5,2,2.6666666666666665,5,5,4,6,6,6,5.333333333333333,3,3,3,3,2,4,3.0,2,2,2,2.0,3,2,,0,1.0,1,,0,,0,3.0,1,2.0,1,3,"No, thank you",4,1.4520242367937435,0,0,1,0,1
P101,2026-08-18 23:12:33,22.0,6.0,6th,EEE,EEE,Man,Both parents,Both parents,0,2.0,2.0,0.0,Dismissing,4,3,6,5,2,1,2,2,1.75,3,3,2,3,2.75,2,1,2,1,3,2,1.8333333333333333,2,2,2,3,2,2,2.1666666666666665,1,1,1,2,2,2,1.5,3,2,2,2.3333333333333335,2,2,,0,1.0,1,2.0,1,,0,3.0,1,,0,3,"No, thank you",4,0.6546536707079771,0,0,1,0,1
P102,2026-08-19 00:31:15,21.0,6.0,6th,CSE ,CSE,Man,Both parents,Both parents,0,2.0,4.0,2.0,Dismissing,4,3,5,4,3,3,3,3,3.0,3,4,2,4,3.25,5,5,5,3,3,2,3.8333333333333335,4,4,3,6,3,3,3.8333333333333335,1,1,1,2,3,1,1.5,2,1,2,1.6666666666666667,2,2,,0,1.0,1,3.0,1,,0,2.0,1,,0,3,Yes — either is fine,5,1.334461755667768,0,0,1,0,1
P103,2026-08-19 11:37:20,23.0,5.0,5th,CS,CSE,Man,Both parents,Both parents,0,3.0,3.0,0.0,Secure,5,6,3,2,6,6,5,7,6.0,5,6,3,7,5.25,4,3,3,3,5,5,3.8333333333333335,5,5,6,5,6,5,5.333333333333333,4,4,4,4,4,4,4.0,3,3,3,3.0,1,3,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,"No, thank you",6,1.2397361867784138,0,0,1,0,1
P104,2026-08-22 21:52:44,21.0,1.0,1st,ant,ENH,Woman,One parent,One parent,3,5.0,15.0,10.0,Secure,7,4,1,4,1,5,1,1,2.0,7,5,1,7,5.0,1,2,1,2,2,1,1.5,6,6,6,6,6,6,6.0,1,1,1,3,3,3,2.0,4,3,3,3.3333333333333335,4,3,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,Yes — either is fine,6,2.2022156330798492,0,0,1,0,1
